Article title,Authors,Journal title,Volume,Issue,Pages,Volume year,DOI,Published online date,URL,Article views (as of 24-Jan-2026),Crossref citations (as of 24-Jan-2026)
The Morality of Carbon Offsets for Luxury Emissions,"Stearns Broadhead, Adriana Placani",World Futures,77,6,p405 - p417,2021,10.1080/02604027.2021.1969876,29-Sep-2021,https://doi.org/10.1080/02604027.2021.1969876,3162.0,4.0
In defence: elite power,Tijo Salverda,Journal of Power,3,3,p385 - p404,2010,10.1080/17540291.2010.525829,20-Nov-2010,https://doi.org/10.1080/17540291.2010.525829,572.0,6.0
The security & defence policies of the liberal democrat party,Menzies CBE QC MP Campbell,The RUSI Journal,146,4,p50 - p53,2001,10.1080/03071840108446676,20-Mar-2008,https://doi.org/10.1080/03071840108446676,43.0,0.0
"European defence spending rises, but well short of NATO target",,Strategic Comments,21,3,pviii - px,2015,10.1080/13567888.2015.1054618,27-May-2015,https://doi.org/10.1080/13567888.2015.1054618,289.0,0.0
A New Bi-continental Approach to Transatlantic Defence Cooperation,Michele Nones,The International Spectator,42,2,p285 - p292,2007,10.1080/03932720701406647,20-Jun-2007,https://doi.org/10.1080/03932720701406647,48.0,0.0
A (moderate) skill-based defense of the expertise defense,M Hosein M A Khalaj,Philosophical Psychology,38,6,p2788 - p2818,2025,10.1080/09515089.2024.2347426,06-May-2024,https://doi.org/10.1080/09515089.2024.2347426,115.0,1.0
The China factor in Australia's defence strategy and alliance posture,Euan Graham,Adelphi series,61,490-492,p75 - p108,2021,10.1080/19445571.2021.2187587,20-Mar-2023,https://doi.org/10.1080/19445571.2021.2187587,825.0,1.0
"The Overdue Defence Review: Old Questions, New Answers",Michael Clarke,The RUSI Journal,153,6,p4 - p10,2008,10.1080/03071840802669991,16-Jan-2009,https://doi.org/10.1080/03071840802669991,923.0,0.0
France: Missile Defence à la française,"Ronja Kempin, Jocelyn Mawdsley",Contemporary Security Policy,26,3,p505 - p519,2005,10.1080/13523260500500716,17-Feb-2007,https://doi.org/10.1080/13523260500500716,176.0,0.0
DEFENCE RESEARCH AND DEVELOPMENT IN SOUTH AFRICA-THE ROLE OF THE CSIR,Jakkie Cilliers,African Security Review,5,5,p39 - p52,1996,10.1080/10246029.1996.9627824,26-Jul-2010,https://doi.org/10.1080/10246029.1996.9627824,15.0,0.0
The impact of defence expenditures on Arab industrial development,Robert E Looney,Arms Control,12,2,p304 - p324,1991,10.1080/01440389108403957,28-Sep-2007,https://doi.org/10.1080/01440389108403957,10.0,0.0
Consolidating Europe's defence industries,,Strategic Comments,11,4,p1 - p2,2005,10.1080/1356788051143,22-Oct-2007,https://doi.org/10.1080/1356788051143,103.0,1.0
Conceptualizing doctrinal rejection: a comparison between Active Defense and Airland Battle,John Nisser,Defence Studies,23,2,p274 - p291,2023,10.1080/14702436.2022.2132232,06-Oct-2022,https://doi.org/10.1080/14702436.2022.2132232,4725.0,4.0
Some Indicators for Australian Defence Policy from the Gulf Crisis,Tom RAN Frame,Maritime Studies,1990,54,p1 - p6,1990,10.1080/07266472.1990.10878247,15-Oct-2014,https://doi.org/10.1080/07266472.1990.10878247,2.0,0.0
Obama's new missile-defence strategy,,Strategic Comments,15,8,p1 - p2,2009,10.1080/13567880903439035,11-Nov-2009,https://doi.org/10.1080/13567880903439035,80.0,0.0
The unsettled foundation: self-management and its implications for Yugoslavia's policy of Total National Defence,James Horncastle,Defense & Security Analysis,38,1,p106 - p121,2022,10.1080/14751798.2022.2030919,07-Feb-2022,https://doi.org/10.1080/14751798.2022.2030919,171.0,0.0
Anti-social networking: crowdsourcing and the cyber defence of national critical infrastructures,Chris W Johnson,Ergonomics,57,3,p419 - p433,2014,10.1080/00140139.2013.812749,05-Jul-2013,https://doi.org/10.1080/00140139.2013.812749,1257.0,9.0
Eastern Enlargements and EU Defence Ambitions,Marcin Zaborowski,The International Spectator,55,3,p50 - p64,2020,10.1080/03932729.2020.1762391,15-Jun-2020,https://doi.org/10.1080/03932729.2020.1762391,549.0,1.0
Huxley's defence of Darwin,Michael Bartholomew,Annals of Science,32,6,p525 - p535,1975,10.1080/00033797500200451,18-Sep-2006,https://doi.org/10.1080/00033797500200451,161.0,14.0
Deglobalization and the rehabilitation of Western defense industrial sovereignty,"Raul Leal, Ron Matthews, Vlado Vivoda",Comparative Strategy,,,p1 - p27,5187,10.1080/01495933.2025.2554061,26-Sep-2025,https://doi.org/10.1080/01495933.2025.2554061,806.0,2.0
Cambodia-Thailand Sovereignty Disputes: Implications for Cambodia's Strategic Environment and Defence Organization,Veasna Var,Strategic Analysis,41,2,p152 - p172,2017,10.1080/09700161.2017.1278879,21-Feb-2017,https://doi.org/10.1080/09700161.2017.1278879,936.0,3.0
"The ""quiet revolution"" in criminal defence: how the zealous advocate slipped into the shadow",Tom Smith,International Journal of the Legal Profession,20,1,p111 - p137,2013,10.1080/09695958.2013.835906,17-Sep-2013,https://doi.org/10.1080/09695958.2013.835906,2843.0,16.0
Industry Solutions and Architectures: The Role of Naval Interceptors in Missile Defence,Kurt Strauss,Whitehall Papers,55,1,p129 - p133,2002,10.1080/02681300209414884,04-Jun-2009,https://doi.org/10.1080/02681300209414884,29.0,0.0
"How Type of Excuse Defense, Mock Juror Age, and Defendant Age Affect Mock Jurors' Decisions","Bruce D Grannemann, Wendy P Heath, Pamela L Higgins",The Journal of Social Psychology,147,4,p371 - p392,2007,10.3200/socp.147.4.371-392,07-Aug-2010,https://doi.org/10.3200/socp.147.4.371-392,1102.0,21.0
The Organization of the Defense Support System: An Economic Geography Perspective,"Amaury Barra, Catherine Baumont, Josselin Droff",Defence and Peace Economics,30,2,p159 - p175,2019,10.1080/10242694.2018.1461791,15-Apr-2018,https://doi.org/10.1080/10242694.2018.1461791,297.0,3.0
The impact of industrial offsets on the US machine tool industry,Alan Macpherson,Competition and Change,7,2-3,p101 - p112,2003,10.1080/1024529032000146687,20-Sep-2010,https://doi.org/10.1080/1024529032000146687,1.0,0.0
"Bush, missile defence and the Atlantic alliance",,Survival,43,1,p17 - p36,2001,10.1093/survival/43.1.17,27-Jun-2007,https://doi.org/10.1093/survival/43.1.17,250.0,7.0
Towards the Starship Enterprise-are the Current Trends in Defence Unit Costs Inexorable?,"D L I Kirkpatrick, P G Pugh",The Journal of Cost Analysis,2,1,p59 - p80,1985,10.1080/08823871.1985.10462343,28-Dec-2011,https://doi.org/10.1080/08823871.1985.10462343,9.0,8.0
"British aerospace Defence business: A new organisation, a new philosophy",,The RUSI Journal,134,2,p39 - p44,1989,10.1080/03071848908445365,20-Mar-2008,https://doi.org/10.1080/03071848908445365,16.0,0.0
Digital natives: internal defence mechanism to distrust tourism advertisements,"Miju Choi, Youngjoon Choi, Do-Yeon Kim",Current Issues in Tourism,26,16,p2692 - p2707,2023,10.1080/13683500.2022.2095508,08-Jul-2022,https://doi.org/10.1080/13683500.2022.2095508,863.0,4.0
Australia's future defence relations with Papua New Guinea,Robert O'Neill,Australian Outlook,26,2,p193 - p203,1972,10.1080/10357717208444439,20-Mar-2008,https://doi.org/10.1080/10357717208444439,31.0,3.0
Defence and security in Australasia,,Strategic Comments,7,1,p1 - p2,2001,10.1080/1356788010713,22-Oct-2007,https://doi.org/10.1080/1356788010713,78.0,0.0
The strange death of UK civil defence education in the 1980s,John Preston,History of Education,44,2,p225 - p242,2015,10.1080/0046760x.2014.979253,17-Dec-2014,https://doi.org/10.1080/0046760x.2014.979253,7829.0,7.0
Role of Nanotechnology in Defence,Ajey Lele,Strategic Analysis,33,2,p229 - p241,2009,10.1080/09700160802518700,19-Mar-2009,https://doi.org/10.1080/09700160802518700,729.0,7.0
"THE SEAWARD DEFENCE OF THE BRITISH ASSAULT AREA, 6-14 JUNE 1944",Michael Whitby,The Mariner's Mirror,80,2,p191 - p207,1994,10.1080/00253359.1994.10656496,22-Mar-2013,https://doi.org/10.1080/00253359.1994.10656496,39.0,1.0
The Kosovo intervention and collective self-defence,Patrick T Egan,International Peacekeeping,8,3,p39 - p58,2001,10.1080/13533310108413907,08-Nov-2007,https://doi.org/10.1080/13533310108413907,814.0,2.0
The Chinese Navy's Submarine Arm: Lynchpin of 'Active Defence',Kamlesh K Agnihotri,Maritime Affairs: Journal of the National Maritime Foundation of India,8,2,p95 - p122,2012,10.1080/09733159.2012.742656,10-Jan-2013,https://doi.org/10.1080/09733159.2012.742656,353.0,1.0
Citadels: passive defence against pirate attacks,Scott C Monje,Australian Journal of Maritime & Ocean Affairs,3,2,p43 - p56,2011,10.1080/18366503.2011.10815676,01-Apr-2014,https://doi.org/10.1080/18366503.2011.10815676,58.0,3.0
A Proposal for restructuring the security and defense industrial sector in Spain,Félix Arteaga,Defence and Peace Economics,25,1,p69 - p83,2014,10.1080/10242694.2013.857463,18-Feb-2014,https://doi.org/10.1080/10242694.2013.857463,318.0,3.0
Sound and fury: sound and vision in early U.K. air defence,Phil Judkins,History and Technology,32,3,p227 - p244,2016,10.1080/07341512.2016.1236526,09-Oct-2016,https://doi.org/10.1080/07341512.2016.1236526,344.0,3.0
France's defence procurement strategy: Looking to the future,Henri Conze,The RUSI Journal,140,2,p48 - p51,1995,10.1080/03071849508445907,20-Mar-2008,https://doi.org/10.1080/03071849508445907,22.0,0.0
Cultural differences: transformation and the future of American-Canadian defence relations,Alexander Gordon Salt,Canadian Foreign Policy Journal,20,3,p259 - p270,2014,10.1080/11926422.2014.977314,29-Jan-2015,https://doi.org/10.1080/11926422.2014.977314,350.0,3.0
Post-deployment policy issues in Ballistic missile defence,D G Brennan,The Adelphi Papers,7,43,p1 - p23,1967,10.1080/05679326708448096,02-May-2008,https://doi.org/10.1080/05679326708448096,22.0,1.0
IN DEFENCE OF REALISM: CONFESSIONS OF A FALLEN IDEALIST,Hussein Solomon,African Security Review,5,2,p3 - p22,1996,10.1080/10246029.1996.9627672,26-Jul-2010,https://doi.org/10.1080/10246029.1996.9627672,254.0,0.0
Chico mendes - the Defence of life,,The Journal of Peasant Studies,20,1,p160 - p176,1992,10.1080/03066159208438503,05-Jun-2010,https://doi.org/10.1080/03066159208438503,94.0,4.0
The Strategic Gap in British Defence Policy,Hew Strachan,Survival,51,4,p49 - p70,2009,10.1080/00396330903168840,15-Feb-2011,https://doi.org/10.1080/00396330903168840,1951.0,16.0
Prophesying the Present: Shelley's Critique of Malthus in A Defence of Poetry,Dallin Lewis,European Romantic Review,25,5,p575 - p590,2014,10.1080/10509585.2014.938228,05-Aug-2014,https://doi.org/10.1080/10509585.2014.938228,486.0,1.0
Ballistic missile defence as a practicable proposition,H O Newsham,Arms Control,3,2,p1 - p11,1982,10.1080/01440388208403745,28-Sep-2007,https://doi.org/10.1080/01440388208403745,8.0,0.0
Challenges for the defence industry,,Strategic Comments,9,4,p1 - p2,2003,10.1080/1356788030945,22-Oct-2007,https://doi.org/10.1080/1356788030945,49.0,0.0
India's defence-industrial partnership with the UK,,Strategic Comments,29,9,pxii - pxiv,2023,10.1080/13567888.2023.2287946,22-Nov-2023,https://doi.org/10.1080/13567888.2023.2287946,98.0,0.0
"Jean Monnet and the European Defence Community, 1950-54",R Dwan,Cold War History,1,3,p141 - p160,2001,10.1080/713999932,06-Sep-2010,https://doi.org/10.1080/713999932,2200.0,5.0
Defending Small States: Norwegian and Danish Defense Policies in the Post-Cold War Era,Håkon Lunde Saxi,Defense & Security Analysis,26,4,p415 - p430,2010,10.1080/14751798.2010.534649,13-Feb-2011,https://doi.org/10.1080/14751798.2010.534649,1030.0,6.0
Prospects for Russian-American Missile Defence Cooperation: Lessons from RAMOS and JDEC,Victoria Samson,Contemporary Security Policy,28,3,p494 - p512,2007,10.1080/13523260701737778,30-Apr-2008,https://doi.org/10.1080/13523260701737778,183.0,2.0
Australia's 2023 Defence Strategic Review,,Strategic Comments,29,3,pi - piii,2023,10.1080/13567888.2023.2212988,10-May-2023,https://doi.org/10.1080/13567888.2023.2212988,767.0,2.0
Italy's bid for autonomy in foreign and defence policy. Evidence from the aerospace sector,"Andrea Carati, Andrea Locatelli",Contemporary Italian Politics,17,4,p484 - p498,2025,10.1080/23248823.2025.2543653,07-Aug-2025,https://doi.org/10.1080/23248823.2025.2543653,79.0,0.0
The UK Defence industrial base: Issues and options,"Keith Hayward, Trevor Taylor",The RUSI Journal,134,2,p51 - p56,1989,10.1080/03071848908445367,20-Mar-2008,https://doi.org/10.1080/03071848908445367,24.0,3.0
Security and defence: Commitments and capabilities,,The Adelphi Papers,26,214,p5 - p12,1986,10.1080/05679328608448759,02-May-2008,https://doi.org/10.1080/05679328608448759,32.0,0.0
Migration and integration in the internal and external community: Narcissistic defence organizations as a hindrance to integration,Kristin White,The International Journal of Psychoanalysis,103,1,p174 - p190,2022,10.1080/00207578.2021.2010558,16-Feb-2022,https://doi.org/10.1080/00207578.2021.2010558,286.0,0.0
The Management of Defence Research,D L I Kirkpatrick,Whitehall Papers,18,1,p53 - p63,1993,10.1080/02681309309414901,04-Jun-2009,https://doi.org/10.1080/02681309309414901,4.0,0.0
"Neither Ground on Which to Stand, nor Self to Defend: The Structural Denial (and Radical Histories) of Black Self-Defense",Adam Bledsoe,Annals of the American Association of Geographers,112,5,p1296 - p1312,2022,10.1080/24694452.2021.1963657,21-Oct-2021,https://doi.org/10.1080/24694452.2021.1963657,1576.0,15.0
Who defends itself from what? Toward a reformulation of the concept of defense,Gian Paolo Scano,International Forum of Psychoanalysis,16,3,p140 - p151,2007,10.1080/08037060701302642,04-Oct-2007,https://doi.org/10.1080/08037060701302642,644.0,1.0
China's internal defence strategy: Problems and prospects,Swaran Singh,Strategic Analysis,24,12,p2129 - p2154,2001,10.1080/09700160108455345,25-Apr-2008,https://doi.org/10.1080/09700160108455345,142.0,0.0
Coping and defending: Age differences in maturity of defence mechanisms and coping strategies,M T Whitty,Aging & Mental Health,7,2,p123 - p132,2003,10.1080/1360786031000072277,09-Jun-2010,https://doi.org/10.1080/1360786031000072277,1167.0,64.0
The possibilities of conventional defence,Anthony Buzzard,The Adelphi Papers,3,6,p3 - p16,1963,10.1080/05679326308448000,02-May-2008,https://doi.org/10.1080/05679326308448000,15.0,1.0
Donald C. Williams's defence of real metaphysics,A R J Fisher,British Journal for the History of Philosophy,25,2,p332 - p355,2017,10.1080/09608788.2016.1266461,31-Jan-2017,https://doi.org/10.1080/09608788.2016.1266461,3201.0,10.0
Indigent Defense Participation by Private Contractors and the Role of Compensation as an Incentive,"Christopher A Sadler, Jonah A Siegel",Justice System Journal,43,3,p432 - p444,2022,10.1080/0098261x.2022.2112324,24-Aug-2022,https://doi.org/10.1080/0098261x.2022.2112324,77.0,1.0
The present defence posture-some problems,,The Adelphi Papers,13,98,p2 - p19,1973,10.1080/05679327308448302,02-May-2008,https://doi.org/10.1080/05679327308448302,13.0,0.0
Increased Chinese and American defence involvement in Africa,"Scott Firsing, Ogi Williams",Defense & Security Analysis,29,2,p89 - p103,2013,10.1080/14751798.2013.787789,29-Apr-2013,https://doi.org/10.1080/14751798.2013.787789,1368.0,0.0
An empirical approach to the evaluation of defence contractor performance,"Paul Blessner, Michael Borbath, Bill Olson",International Journal of Logistics Research and Applications,22,2,p138 - p153,2019,10.1080/13675567.2018.1497148,10-Jul-2018,https://doi.org/10.1080/13675567.2018.1497148,375.0,4.0
A Phased Approach to India's Missile Defence Planning,A Vinod Kumar,Strategic Analysis,32,2,p171 - p195,2008,10.1080/09700160801994845,03-Apr-2008,https://doi.org/10.1080/09700160801994845,258.0,2.0
Estonia's security and defence policy new steps towards NATO membership,Lennart President Of Estonia Meri,The RUSI Journal,145,3,p18 - p20,2000,10.1080/03071840008446527,20-Mar-2008,https://doi.org/10.1080/03071840008446527,102.0,0.0
A case for strategic defence,Colin S Gray,Survival,27,2,p50 - p55,1985,10.1080/00396338508442224,03-Mar-2008,https://doi.org/10.1080/00396338508442224,35.0,5.0
Trends in European defence industry in the 1990s: An assessment,Deba R Mohanty,Strategic Analysis,28,4,p561 - p576,2004,10.1080/09700160408450159,03-Apr-2008,https://doi.org/10.1080/09700160408450159,77.0,0.0
NATO Strategy and ballistic missile defence: Introduction,Ivo H Daalder,The Adelphi Papers,28,233,p3 - p4,1988,10.1080/05679328808448855,02-May-2008,https://doi.org/10.1080/05679328808448855,29.0,0.0
Russian-South African defence and technology ties,"Greg Mills, Sara Pienaar",Strategic Analysis,25,1,p33 - p56,2001,10.1080/09700160108458938,15-Jul-2008,https://doi.org/10.1080/09700160108458938,55.0,0.0
Roger Ascham's Defence of the Lord's Supper,Lucy R Nicholas,Reformation,20,1,p26 - p61,2015,10.1179/1357417515z.00000000035,22-May-2015,https://doi.org/10.1179/1357417515z.00000000035,246.0,0.0
Policy-Making in Defence and Security,Mark Phillips,The RUSI Journal,157,1,p28 - p35,2012,10.1080/03071847.2012.664361,29-Feb-2012,https://doi.org/10.1080/03071847.2012.664361,830.0,4.0
